Eload,G,T,Vw
1.600127698,0.0,6.4,2.2
1.458262622,0.0,6.300000000000001,2.9000000000000004
1.181615917,0.0,6.2,3.2
0.908382283,0.0,6.5,3.7
0.656950496,0.0,6.800000000000001,4.2
0.554009436,0.0,6.9,4.5
0.516974284,0.0,6.9,4.9
0.511230468,0.0,6.800000000000001,5.5
0.51659625,0.0,6.4,6.300000000000001
0.572360264,0.0,6.0,6.6000000000000005
0.794070475,0.0,6.1000000000000005,6.4
1.063706558,0.0,6.6000000000000005,5.6000000000000005
1.001451093,0.0,7.6,4.6000000000000005
0.86170144,6.89762554029291,8.3,5.6000000000000005
0.864206149,5.173219155219683,8.0,7.300000000000001
0.882123098,4.311015962683069,8.0,8.0
0.862598906,28.452705353708257,8.0,8.1
0.835623927,37.936940471611,7.800000000000001,8.1
0.831356819,293.8614375979416,7.1000000000000005,7.6
0.891545084,118.41235238666646,6.1000000000000005,6.9
1.119593078,0.0,5.2,6.4
1.53810911,0.0,4.7,6.0
1.811788512,0.0,4.3,5.6000000000000005
1.762817728,0.0,3.7,5.1000000000000005
1.634983069,0.0,2.9000000000000004,4.4
1.49386948,0.0,2.4000000000000004,4.2
1.209909129,0.0,2.2,4.2
0.933833552,0.0,2.0,4.1000000000000005
0.667637191,0.0,1.8,3.9
0.572093927,0.0,1.7000000000000002,3.5
0.538953271,0.0,1.6,3.2
0.533679816,0.0,1.6,2.9000000000000004
0.538800221,0.0,1.7000000000000002,2.7
0.595737812,0.0,1.9,2.6
0.791554286,0.0,2.3000000000000003,2.7
1.073937528,0.0,2.9000000000000004,2.9000000000000004
1.009678998,0.0,4.0,3.2
0.862575669,6.89762554029291,6.0,3.9
0.864206149,5.173219155219683,7.6,4.1000000000000005
0.882123098,88.37665898837423,8.700000000000001,4.4
0.862598906,32.76372131639132,9.1,4.5
0.835623927,6.89762554029291,8.9,3.9
0.831356819,5.173219155219683,8.0,3.1
0.891545084,7.759828732829522,6.5,2.4000000000000004
1.119593078,0.0,5.800000000000001,2.6
1.53810911,0.0,6.1000000000000005,2.8000000000000003
1.811788512,0.0,6.4,3.0
1.762817728,0.0,6.800000000000001,3.2
1.634983069,0.0,7.2,3.5
1.49386948,0.0,7.6,3.8
1.209909129,0.0,7.9,4.2
0.930766415,0.0,8.1,4.2
0.663624101,0.0,8.0,4.0
0.565106728,0.0,7.9,4.0
0.531568979,0.0,7.7,3.7
0.520330951,0.0,7.6,3.8
0.520339064,0.0,7.4,3.8
0.576526296,0.0,7.2,3.7
0.766976097,0.0,7.2,3.8
1.042386405,0.0,7.4,3.9
0.96695083,0.0,7.800000000000001,4.1000000000000005
0.81727032,9.48423511790275,8.3,4.3
0.81328992,3.448812770146455,8.9,4.6000000000000005
0.829634338,32.76372131639132,9.4,5.300000000000001
0.814788399,12.070844695512594,10.0,5.9
0.792035895,19.830673428342116,10.2,6.300000000000001
